Name,Partner,Opponent 1,Opponent 2,Round,Score: Hand 1,Called: Hand 1,Score: Hand 2,Called: Hand 2,Score: Hand 3,Called: Hand 3,Score: Hand 4,Called: Hand 4,Score: Hand 5,Called: Hand 5,Score: Hand 6,Called: Hand 6,Score: Hand 7,Called: Hand 7,Score: Hand 8,Called: Hand 8,Score: Hand 9,Called: Hand 9,Score: Hand 10,Called: Hand 10,Score: Hand 11,Called: Hand 11,Score: Hand 12,Called: Hand 12,Total,Successful Loners,Total Called,Loners Called,Times Euchred,(optional >>),Team Euchres,Team Euchred,Team Two-Fors,Man Hands Played
Kotwa,Allie,Ellen,Rae,1,0,,2,,4,,2,,1,v,0,,0,,1,v,1,v,1,,0,,0,,12,0,3,0,0,,1,1,1,1728
Allie ,Kotwa,Rae,Ellen,1,0,,2,v,4,x,2,,1,,0,v,0,,1,,1,,1,x,0,,0,,12,1,4,2,1,,1,1,1,
Rae,Ellen,Kotwa,Allie,1,4,x,0,,0,,0,,0,,2,,1,v,0,,0,,0,,1,x,1,v,9,1,4,2,0,,1,1,0,
Ellen,Rae,Allie ,Kotwa,1,4,,0,,0,,0,x,0,,2,,1,,0,,0,,0,,1,,1,,9,0,1,1,1,,1,1,0,
Rumi,Alannah,Julie,Joel,1,1,,0,,0,,4,,1,v,1,,0,,0,,0,,0,,2,,0,,9,0,1,0,0,,0,0,1,
Alannah,Rumi,Joel,Julie,1,1,v,0,,0,,4,x,1,,1,v,0,,0,,0,,0,,2,v,0,,9,1,4,1,0,,0,0,1,
Julie,Joel,Alannah,Rumi,1,0,,1,,1,v,0,,0,,0,,1,v,1,v,1,v,1,,0,,4,x,10,1,5,1,0,,0,0,0,
Joel,Julie,Rumi,Alannah,1,0,,1,v,1,,0,,0,,0,,1,,1,,1,,1,v,0,,4,,10,0,2,0,0,,0,0,0,
Shan,Toly,Dre,Pat,1,0,,0,,1,v,0,,0,,0,,0,,1,v,0,v,1,,0,,0,,3,0,3,0,1,,0,1,0,
Toly,Shan,Pat,Dre,1,0,,0,,1,,0,,0,,0,,0,,1,,0,,1,v,0,,0,,3,0,1,0,0,,0,1,0,
Pat,Dre,Shan,Toly,1,2,,4,x,0,,1,v,1,,2,v,1,v,0,,2,,0,,1,,1,,15,1,4,1,0,,1,0,2,
Dre,Pat,Toly,Shan,1,2,v,4,,0,,1,,1,v,2, ,1,,0,,2,,0,,1,v,1,v,15,0,4,0,0,,1,0,2,
Jeff,Guy,Kev,Morgan,1,0,,0,,0,,0,,2,,0,,1,,0,,0,,0,,1,v,1,,5,0,1,0,0,,1,0,0,
