Name,Partner,Opponent 1,Opponent 2,Round,Score: Hand 1,Called: Hand 1,Score: Hand 2,Called: Hand 2,Score: Hand 3,Called: Hand 3,Score: Hand 4,Called: Hand 4,Score: Hand 5,Called: Hand 5,Score: Hand 6,Called: Hand 6,Score: Hand 7,Called: Hand 7,Score: Hand 8,Called: Hand 8,Score: Hand 9,Called: Hand 9,Score: Hand 10,Called: Hand 10,Score: Hand 11,Called: Hand 11,Score: Hand 12,Called: Hand 12,Total,Successful Loners,Total Called,Loners Called,Times Euchred,(optional >>),Team Euchres,Team Euchred,Team Two-Fors,Man Hands Played
Kotwa,Jeff,Jrock,Jim,1,1,v,0,,1,,0,,1,,0,,0,,0,,1,v,0,,1,,0,,5,0,2,0,0,,0,0,0,1728
Jeff,Kotwa,Jim,Jrock,1,1,,0,,1,v,0,v,1,x,0,,0,v,0,,1,,0,,1,v,0,,5,0,5,1,0,,0,0,0,
Jrock,Jim,Jeff,Kotwa,1,0,,1,,0,,2,,0,,2,,2,,1,v,0,,2,v,0,,1,v,11,0,3,0,0,,0,0,2,
Jim,Jrock,Kotwa,Jeff,1,0,,1,v,0,,2,,0,,2,v,2,,1,,0,,2,,0,,1,,11,0,2,0,0,,0,0,2,
Katie B,Sean W,Bussin,Andrea,1,1,v,0,,0,,0,,1,,0,,0,,1,,2,,0,,0,,1,,6,0,1,0,0,,0,0,0,1728
Sean W,Katie B,Andrea,Bussin,1,1,,0,,0,v,0,,1,v,0,,0,,1,v,2,,0,,0,,1,v,6,0,4,0,0,,0,0,0,
Bussin,Andrea,Sean W,Katie B,1,0,,1,x,2,,1,,0,,1,,1,v,0,,0,,1,v,1,,0,,8,0,3,1,0,,1,0,0,
Andrea,Bussin,Katie B,Sean W,1,0,,1,,2,,1,v,0,,1,v,1,,0,,0,v,1,,1,x,0,,8,0,4,1,0,,1,0,0,
Bobo,Rebecca,Allie,Nick,1,0,,0,v,0,,0,,0,,2,,0,,0,,2,,0,,0,,0,,4,0,1,0,1,,1,1,1,1728
Rebecca,Bobo,Nick,Allie,1,0,,0,,0,,0,,0,,2,v,0,,0,,2,,0,,0,,0,,4,0,1,0,0,,1,1,1,
